target,party,n_windows,distinctive_words
klimaat,PVV,870,"allemaal, miljarden, stoppen, hele, miljard"
klimaat,FvD,235,"immigratie, miljard, kosten, huidige, zoals"
klimaat,BBB,105,"landbouw, fiscale, biodiversiteitsplannen, ondernemers, innovaties"
klimaat,VVD,808,"energietransitie, natuurlijk, denk, belangrijk, kader"
klimaat,CDA,730,"energie, uitwerking, volgende, gebied, nederlandse"
klimaat,D66,1586,"elkaar, daarom, afspraken, willen, tegengaan"
klimaat,GroenLinks,1399,"aanpak, parijs, draagvlak, lijn, plan"
klimaat,PvdA,433,"mensen, draagvlak, gaan, landen, gevolgen"
klimaat,PvdD,1658,"biodiversiteitscrisis, biodiversiteit, dieren, natuur, veehouderij"
energie,PVV,922,"huishoudens, betalen, stoppen, opslag, klimaatbeleid"
energie,FvD,216,"miljard, onze, zelfs, hele, absurde"
energie,BBB,230,"glastuinbouw, studenten, verhogen, huishoudens, bedrijven"
energie,VVD,1449,"overgang, kernenergie, onze, moeten, maken"
energie,CDA,1317,"belang, inwoners, draagvlak, zonne, reductie"
energie,D66,1629,"schone, europese, doelstelling, bedrijven, willen"
energie,GroenLinks,1465,"fossiele, mogelijk, woningen, voorkomen, maatregelen"
energie,PvdA,600,"duurzame, investeringen, productie, impact, komt"
energie,PvdD,997,"fossiele, biomassa, duurzame, dieren, mest"
uitstoot,PVV,160,"verantwoordelijk, menselijke, totale, slechts, biomassa"
uitstoot,FvD,57,"megaton, totale, china, wereldwijde, onze"
uitstoot,BBB,32,"vaak, opgegeven, daadwerkelijke, vastlegging, groot"
uitstoot,VVD,470,"banen, minder, vermindert, manier, daling"
uitstoot,CDA,176,"reduceren, fijnstof, terwijl, opzichte, files"
uitstoot,D66,482,"auto, economie, weinig, test, willen"
uitstoot,GroenLinks,375,"luchtvaart, terugdringen, ultrafijnstof, natuur, extra"
uitstoot,PvdA,119,"bedrijven, sectoren, aantal, veroorzaken, modellen"
uitstoot,PvdD,570,"broeikasgassen, biomassa, veehouderij, luchtvaart, cumulatieve"
natuur,PVV,266,"stikstofarme, laten, beheer, hele, windturbines"
natuur,FvD,123,"klimaatbeleid, onze, toestand, windturbines, kritische"
natuur,BBB,213,"verordening, wetenschappelijke, monitoring, melders, verslechteringsverbod"
natuur,VVD,654,"uiteindelijk, moment, onderdeel, kijken, waar"
natuur,CDA,606,"agrarisch, beheer, landschap, koopmans, kader"
natuur,D66,1038,"geldt, vraag, ecologische, belangrijk, onze"
natuur,GroenLinks,652,"probleem, waddenzee, visie, biodiversiteit, versterken"
natuur,PvdA,388,"biodiversiteit, agrarische, landbouw, oorlag, jacobi"
natuur,PvdD,1128,"dieren, klimaat, milieu, beschermen, dier"
transitie,PVV,10,"ontgassen, miljoenen, verbod, varend, bepaalde"
transitie,FvD,11,"totdat, aankan, stroomnet, energietransitie, minste"
transitie,BBB,23,"energiebronnen, gebied, investeringen, waterstof, landelijk"
transitie,VVD,118,"manier, zitten, biomassa, moeten, bezig"
transitie,CDA,105,"energievoorziening, draagvlak, circulaire, fossiel, inwoners"
transitie,D66,161,"kringlooplandbouw, economie, circulaire, kosten, gemaakt"
transitie,GroenLinks,135,"staan, laten, staat, grote, tijd"
transitie,PvdA,45,"duurzame, veehouderij, intensieve, provincies, energievoorziening"
transitie,PvdD,161,"plantaardige, eiwitten, plantaardig, duurzame, dierlijke"
biodiversiteit,PVV,25,"kader, beter, onderzocht, toegenomen, bijen"
biodiversiteit,FvD,12,"ouder, loofbomen, groeien, leiden, landschap"
biodiversiteit,BBB,23,"verhoudt, ruimte, vragen, toenemende, voedseltoets"
biodiversiteit,VVD,86,"goed, werken, zeker, gebruiken, allerlei"
biodiversiteit,CDA,90,"stikstof, natuurinclusieve, landschap, steden, opgaven"
biodiversiteit,D66,184,"teruggang, afname, behoud, onze, concrete"
biodiversiteit,GroenLinks,205,"gebruik, glyfosaat, internationale, behoud, maatregelen"
biodiversiteit,PvdA,64,"natuur, verbeteren, natuurkwaliteit, behoud, lange"
biodiversiteit,PvdD,475,"klimaat, klimaatcrisis, verlies, volksgezondheid, stikstofcrisis"
kernenergie,PVV,56,"groot, biomassa, duurzame, klimaattafels, bijvoorbeeld"
kernenergie,FvD,32,"renewables, biomassa, zoals, wind, thorium"
kernenergie,BBB,33,"kleinschalige, nieuwe, toepassing, miljoen, taxonomie"
kernenergie,VVD,229,"grote, uitgesloten, landen, natuurlijk, gezonde"
kernenergie,CDA,81,"lidstaten, laten, vrije, green, energiemix"
kernenergie,D66,74,"wind, aardgas, opname, aanzien, goede"
kernenergie,GroenLinks,72,"taboe, waar, categorie, aparte, kunt"
kernenergie,PvdA,24,"gaan, ontwikkelen, smaak, vlek, graad"
