party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
BBB,0.593,1.039,1.265,0.391,1.77,1.219,1.402
CDA,0.65,1.027,1.226,0.399,1.798,1.298,1.052
D66,0.656,1.097,1.512,0.382,2.034,1.544,1.033
FvD,0.82,0.788,1.379,0.367,1.196,1.012,3.004
GroenLinks,0.617,1.368,1.352,0.341,2.085,1.703,1.094
GroenLinks-PvdA,0.613,1.378,1.544,0.389,2.087,1.544,1.107
PVV,0.767,0.837,1.074,0.383,1.032,1.012,4.046
PvdA,0.648,1.222,1.29,0.385,1.981,1.61,1.087
PvdD,0.484,1.396,1.468,0.342,2.433,1.859,1.205
VVD,0.739,0.957,1.313,0.455,1.853,1.251,1.104
