party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
BBB,0.61,1.156,1.53,0.342,1.33,0.918,1.058
CDA,0.597,1.158,1.517,0.349,1.387,0.91,0.798
D66,0.535,1.257,1.64,0.347,1.537,0.988,0.721
FvD,0.702,1.086,1.368,0.384,1.044,0.846,1.453
GroenLinks,0.497,1.38,1.583,0.351,1.531,1.043,0.778
GroenLinks-PvdA,0.578,1.412,1.719,0.363,1.47,1.145,0.815
PVV,0.675,1.098,1.075,0.347,1.054,0.812,1.274
PvdA,0.546,1.255,1.447,0.336,1.519,0.922,0.774
PvdD,0.428,1.486,1.676,0.329,1.804,1.073,0.863
VVD,0.653,1.061,1.366,0.367,1.15,0.866,0.874
