bloc,year,frame,count,n_docs,freq
Center,2008,Activity_stop,1,51,0.0196078431372549
Center,2008,Expensiveness,10,51,0.19607843137254902
Center,2008,Intentionally_act,27,51,0.5294117647058824
Center,2008,Origin,16,51,0.3137254901960784
Center,2008,Protecting,9,51,0.17647058823529413
Center,2008,Required_event,19,51,0.37254901960784315
Center,2009,Activity_stop,2,85,0.023529411764705882
Center,2009,Expensiveness,17,85,0.2
Center,2009,Intentionally_act,31,85,0.36470588235294116
Center,2009,Origin,19,85,0.2235294117647059
Center,2009,Protecting,13,85,0.15294117647058825
Center,2009,Required_event,35,85,0.4117647058823529
Center,2010,Activity_stop,2,67,0.029850746268656716
Center,2010,Expensiveness,11,67,0.16417910447761194
Center,2010,Intentionally_act,19,67,0.2835820895522388
Center,2010,Origin,22,67,0.3283582089552239
Center,2010,Protecting,6,67,0.08955223880597014
Center,2010,Required_event,12,67,0.1791044776119403
Center,2011,Activity_stop,5,160,0.03125
Center,2011,Expensiveness,48,160,0.3
Center,2011,Intentionally_act,41,160,0.25625
Center,2011,Origin,46,160,0.2875
Center,2011,Protecting,43,160,0.26875
Center,2011,Required_event,41,160,0.25625
Center,2012,Activity_stop,1,75,0.013333333333333334
Center,2012,Expensiveness,16,75,0.21333333333333335
Center,2012,Intentionally_act,32,75,0.4266666666666667
Center,2012,Origin,13,75,0.17333333333333334
Center,2012,Protecting,10,75,0.13333333333333333
Center,2012,Required_event,20,75,0.26666666666666666
Center,2013,Expensiveness,22,104,0.21153846153846154
Center,2013,Intentionally_act,28,104,0.2692307692307692
Center,2013,Origin,25,104,0.2403846153846154
Center,2013,Protecting,13,104,0.125
Center,2013,Required_event,27,104,0.25961538461538464
Center,2014,Activity_stop,1,105,0.009523809523809525
Center,2014,Expensiveness,13,105,0.12380952380952381
Center,2014,Intentionally_act,26,105,0.24761904761904763
Center,2014,Origin,22,105,0.20952380952380953
Center,2014,Protecting,11,105,0.10476190476190476
Center,2014,Required_event,20,105,0.19047619047619047
Center,2015,Expensiveness,34,119,0.2857142857142857
Center,2015,Intentionally_act,35,119,0.29411764705882354
Center,2015,Origin,20,119,0.16806722689075632
Center,2015,Protecting,14,119,0.11764705882352941
Center,2015,Required_event,18,119,0.15126050420168066
Center,2016,Activity_stop,3,121,0.024793388429752067
Center,2016,Expensiveness,14,121,0.11570247933884298
Center,2016,Intentionally_act,35,121,0.2892561983471074
Center,2016,Origin,24,121,0.19834710743801653
Center,2016,Protecting,12,121,0.09917355371900827
Center,2016,Required_event,28,121,0.23140495867768596
Center,2017,Expensiveness,4,93,0.043010752688172046
Center,2017,Intentionally_act,18,93,0.1935483870967742
Center,2017,Origin,28,93,0.3010752688172043
