party,voice_prop_passive,voice_prop_active,neg_prop_negated,mod_prop_obligation,mod_prop_possibility,mod_prop_hedging,mod_prop_negation_mod,mod_prop_any_modal
BBB,0.303,0.697,0.06,0.134,0.079,0.015,0.0,0.227
CDA,0.168,0.832,0.103,0.1,0.103,0.003,0.0,0.205
D66,0.165,0.835,0.086,0.108,0.078,0.002,0.001,0.189
FvD,0.195,0.805,0.191,0.083,0.107,0.032,0.0,0.223
GroenLinks,0.144,0.856,0.109,0.043,0.072,0.001,0.0,0.116
GroenLinks-PvdA,0.108,0.892,0.102,0.068,0.073,0.002,0.0,0.143
PVV,0.205,0.795,0.234,0.055,0.04,0.003,0.0,0.099
PvdA,0.244,0.756,0.107,0.078,0.083,0.0,0.0,0.161
PvdD,0.26,0.74,0.161,0.068,0.083,0.006,0.0,0.156
VVD,0.195,0.805,0.117,0.104,0.119,0.004,0.0,0.227
