party,voice_prop_passive,voice_prop_active,neg_prop_negated,mod_prop_obligation,mod_prop_possibility,mod_prop_hedging,mod_prop_negation_mod,mod_prop_any_modal
BBB,0.451,0.549,0.266,0.081,0.195,0.023,0.0,0.3
CDA,0.416,0.584,0.211,0.096,0.208,0.02,0.0,0.323
D66,0.405,0.595,0.226,0.097,0.173,0.031,0.0,0.302
FvD,0.323,0.677,0.307,0.082,0.143,0.055,0.0,0.28
GroenLinks,0.407,0.593,0.237,0.111,0.151,0.029,0.0,0.291
GroenLinks-PvdA,0.416,0.584,0.245,0.137,0.204,0.027,0.0,0.368
PVV,0.275,0.725,0.27,0.065,0.109,0.025,0.0,0.199
PvdA,0.378,0.622,0.193,0.115,0.156,0.023,0.0,0.294
PvdD,0.411,0.589,0.327,0.095,0.141,0.036,0.0,0.272
VVD,0.386,0.614,0.26,0.118,0.183,0.019,0.0,0.32
