party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
BBB,1.864,1.318,1.25,1.227,1.75,1.205,1.386
CDA,2.04,1.303,1.212,1.253,1.778,1.283,1.04
D66,2.061,1.392,1.495,1.201,2.011,1.526,1.021
FvD,2.576,1.0,1.364,1.152,1.182,1.0,2.97
GroenLinks,1.939,1.735,1.337,1.071,2.061,1.684,1.082
GroenLinks-PvdA,1.926,1.747,1.526,1.221,2.063,1.526,1.095
PVV,2.408,1.061,1.061,1.204,1.02,1.0,4.0
PvdA,2.033,1.55,1.275,1.208,1.958,1.592,1.075
PvdD,1.521,1.771,1.451,1.075,2.405,1.838,1.191
VVD,2.321,1.214,1.298,1.427,1.832,1.237,1.092
