party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
BBB,1.917,1.143,1.941,1.074,1.686,1.164,1.746
CDA,1.876,1.145,1.924,1.096,1.759,1.154,1.317
D66,1.68,1.243,2.08,1.091,1.949,1.254,1.189
FvD,2.206,1.074,1.735,1.206,1.324,1.074,2.397
GroenLinks,1.559,1.364,2.008,1.103,1.942,1.323,1.283
GroenLinks-PvdA,1.814,1.395,2.181,1.141,1.864,1.452,1.345
PVV,2.12,1.085,1.363,1.09,1.337,1.029,2.102
PvdA,1.714,1.241,1.836,1.054,1.926,1.17,1.278
PvdD,1.343,1.469,2.125,1.032,2.288,1.361,1.423
VVD,2.049,1.049,1.732,1.153,1.459,1.098,1.443
