comparison,frame,n_parties,rho,p_value,sig
manifesto_vs_motion,economic,10,0.697,0.0251,*
manifesto_vs_motion,moral,10,0.939,0.0001,***
manifesto_vs_motion,scientific,10,0.721,0.0186,*
manifesto_vs_motion,security,10,0.152,0.6761,
manifesto_vs_motion,health_environment,10,0.867,0.0012,**
manifesto_vs_motion,crisis_urgency,10,0.827,0.0032,**
manifesto_vs_motion,weaponization,10,0.915,0.0002,***
speech_vs_motion,economic,8,0.952,0.0003,***
speech_vs_motion,moral,8,0.905,0.002,**
speech_vs_motion,scientific,8,0.667,0.071,
speech_vs_motion,security,8,0.881,0.0039,**
speech_vs_motion,health_environment,8,0.952,0.0003,***
speech_vs_motion,crisis_urgency,8,0.952,0.0003,***
speech_vs_motion,weaponization,8,0.69,0.058,
