event,year,bloc,frame,pre_mean,post_mean,diff,r,effect,p_value,sig
Paris Agreement,2015,Left,economic,1.489,1.507,0.018,0.019,negligible,0.3553,
Paris Agreement,2015,Left,moral,1.32,1.416,0.096,0.084,negligible,0.0001,***
Paris Agreement,2015,Left,scientific,2.013,2.055,0.042,0.028,negligible,0.2429,
Paris Agreement,2015,Left,security,1.06,1.074,0.014,0.01,negligible,0.2334,
Paris Agreement,2015,Left,health_environment,2.229,2.035,-0.194,-0.138,small,0.0,***
Paris Agreement,2015,Left,crisis_urgency,1.21,1.362,0.152,0.109,small,0.0,***
Paris Agreement,2015,Left,weaponization,1.303,1.355,0.052,0.043,negligible,0.0281,*
Paris Agreement,2015,Center,economic,1.819,1.776,-0.043,-0.027,negligible,0.2837,
Paris Agreement,2015,Center,moral,1.122,1.218,0.096,0.091,negligible,0.0,***
Paris Agreement,2015,Center,scientific,1.899,2.036,0.136,0.098,negligible,0.0001,***
Paris Agreement,2015,Center,security,1.06,1.109,0.049,0.024,negligible,0.0224,*
Paris Agreement,2015,Center,health_environment,1.845,1.842,-0.003,-0.0,negligible,0.9869,
Paris Agreement,2015,Center,crisis_urgency,1.124,1.232,0.108,0.094,negligible,0.0,***
Paris Agreement,2015,Center,weaponization,1.232,1.274,0.041,0.032,negligible,0.1125,
Paris Agreement,2015,Right,economic,2.079,2.008,-0.072,-0.026,negligible,0.5359,
Paris Agreement,2015,Right,moral,1.079,1.109,0.03,0.027,negligible,0.2319,
Paris Agreement,2015,Right,scientific,1.414,1.738,0.324,0.23,small,0.0,***
Paris Agreement,2015,Right,security,1.102,1.093,-0.01,-0.008,negligible,0.66,
Paris Agreement,2015,Right,health_environment,1.479,1.511,0.032,0.016,negligible,0.6698,
Paris Agreement,2015,Right,crisis_urgency,1.019,1.119,0.1,0.091,negligible,0.0,***
Paris Agreement,2015,Right,weaponization,2.056,1.776,-0.28,-0.147,small,0.0004,***
Urgenda ruling,2019,Left,economic,1.459,1.544,0.085,0.057,negligible,0.001,***
Urgenda ruling,2019,Left,moral,1.325,1.46,0.136,0.114,small,0.0,***
Urgenda ruling,2019,Left,scientific,1.975,2.112,0.136,0.088,negligible,0.0,***
Urgenda ruling,2019,Left,security,1.067,1.074,0.007,0.005,negligible,0.4452,
Urgenda ruling,2019,Left,health_environment,2.091,2.065,-0.026,-0.022,negligible,0.2598,
Urgenda ruling,2019,Left,crisis_urgency,1.236,1.414,0.178,0.129,small,0.0,***
Urgenda ruling,2019,Left,weaponization,1.278,1.404,0.125,0.097,negligible,0.0,***
Urgenda ruling,2019,Center,economic,1.774,1.807,0.033,0.02,negligible,0.4088,
Urgenda ruling,2019,Center,moral,1.144,1.238,0.094,0.088,negligible,0.0,***
Urgenda ruling,2019,Center,scientific,1.882,2.119,0.236,0.167,small,0.0,***
Urgenda ruling,2019,Center,security,1.062,1.13,0.069,0.035,negligible,0.0004,***
Urgenda ruling,2019,Center,health_environment,1.796,1.897,0.101,0.072,negligible,0.0024,**
Urgenda ruling,2019,Center,crisis_urgency,1.139,1.265,0.127,0.11,small,0.0,***
Urgenda ruling,2019,Center,weaponization,1.226,1.3,0.074,0.057,negligible,0.0025,**
Urgenda ruling,2019,Right,economic,2.13,1.974,-0.156,-0.071,negligible,0.0572,
Urgenda ruling,2019,Right,moral,1.076,1.115,0.039,0.034,negligible,0.0931,
Urgenda ruling,2019,Right,scientific,1.443,1.772,0.329,0.233,small,0.0,***
Urgenda ruling,2019,Right,security,1.089,1.097,0.009,0.005,negligible,0.7338,
Urgenda ruling,2019,Right,health_environment,1.443,1.532,0.088,0.061,negligible,0.0744,
Urgenda ruling,2019,Right,crisis_urgency,1.022,1.132,0.11,0.097,negligible,0.0,***
Urgenda ruling,2019,Right,weaponization,1.956,1.781,-0.175,-0.085,negligible,0.0201,*
IPCC AR6,2021,Left,economic,1.455,1.591,0.135,0.091,negligible,0.0,***
