bloc,subject,count
Left,plan,24
Left,verlies,10
Left,international,3
Left,uitdaging,11
Left,ambitieniveau,1
Left,iucn,1
Left,beleidsprogramma,1
Left,spraak,41
Left,ouwehand,22
Left,rijksoverheid,11
Left,presidium,6
Left,kabinet,325
Left,productie,33
Left,transitie,40
Left,regering,1363
Left,beraadslaging,462
Left,uitlating,1
Left,motie-halsema,1
Left,woningeigenar,1
Left,energiebesparing,27
Left,woningeigenaren,1
Left,actieprogramma,2
Left,noordzee,3
Left,inhaalslag,1
Left,natuurbalans,3
Left,gebied,8
Left,mest,6
Left,gebruik,20
Left,energie,61
Left,klimaatverandering,77
Left,millennium,1
Left,raad,36
Left,partij,69
Left,powerhouse-scenario,1
Left,budgett,1
Left,energierapport,1
Left,rapportage,1
Left,motie-vendrik,4
Left,windenergie,4
Left,procedure,3
Left,groep,8
Left,belang,18
Left,jacht,1
Left,minister,288
Left,effect,29
Left,bescherming,6
Left,evaluatie,2
Left,verbetering,1
Left,duurzaamheid,25
Left,uitgangspunt,6
Left,motie-halsema/hamer,1
Left,kredietcrisis,1
Left,natuur,94
Left,subsidieontvanger,1
Left,vlees,6
Left,aandeelhouder,2
Left,bedrijf,77
Left,stap,8
Left,natura,4
Left,krimp,10
Left,onzekerheidsmarge,2
Left,onzekerhed,2
Left,kostenoverschrijding,1
Left,waddenzee,11
Left,natuurgebied,18
Left,tnoonderzoek,1
Left,zoutwinning,1
Left,besluitvorming,2
Left,paling,3
Left,motie-thieme,2
Left,planbureau,22
Left,teelt,4
Left,investering,25
Left,kredietverstrekking,1
Left,borging,1
Left,overheid,74
Left,econcern,4
Left,investeringsbehoefte,2
Left,consumptie,5
Left,klimaatbeleid,60
Left,productieprocessen,1
Left,onderzoeker,6
Left,landbouw,31
Left,voedselproductie,3
Left,kost,26
Left,middel,11
Left,eu-lidstaten,1
Left,gevolg,21
Left,mens,87
Left,capaciteitsopbouw,1
Left,contouur,1
Left,provincie,40
Left,uitvoering,4
Left,habitatrichtlijn,1
Left,overschrijding,5
Left,kabinetsbeleid,3
Left,activiteit,8
Left,gezag,3
Left,ammoniakemissie,1
Left,ontsnippering,1
Left,inrichting,2
Left,poging,2
Left,euro,2
Left,klimaatonderhandeling,1
Left,koploper,5
Left,doelstelling,16
Left,kopenhagen,1
Left,ontwikkelingland,6
Left,geld,22
Left,annex,1
Left,deltawet,2
Left,bijdrage,19
Left,motie-van,8
Left,organisatie,7
Left,energiebedrijf,5
Left,bouw,11
Left,europees,5
Left,ippcrichtlijn,1
Left,onderhandeling,6
Left,vraagstuk,2
Left,kans,28
Left,crisiswet,1
Left,wetsvoorstel,8
Left,rijk,20
Left,vergunning,6
Left,grond,6
Left,herplantplicht,2
Left,wereldbank,3
Left,impuls,2
Left,miljoen,11
Left,verenigde,3
Left,europese,32
Left,terreinbeheerder,4
Left,proef,3
Left,kroondomein,3
Left,noodzaak,7
Left,verkeersproblem,2
Left,kastanjedal,2
Left,onderdeel,3
Left,barrièrewerking,1
Left,mjpo-knelpunten,1
Left,fietser,1
Left,natuurbelang,1
Left,sector,30
Left,getijstroom,1
Left,algemene,9
Left,motie-ouwehand/thieme,2
Left,voedsel,5
Left,afname,5
Left,nadeel,2
Left,cogem,1
Left,kwetsbaarheid,2
Left,aanwijzing,5
Left,uitbreiding,9
Left,biodiversiteit,34
Left,twijfel,5
Left,stikstof,10
Left,bedrijfs,1
Left,ontwikkeling,8
Left,nevendoelstelling,2
Left,beleid,23
Left,probleem,20
Left,zeeën,1
Left,oorzaak,2
Left,definitie,1
Left,octrooirecht,1
Left,coalitie,8
Left,octrooien,1
Left,staatsbosbeheer,5
Left,haags,1
Left,verkoop,4
Left,bezuinigingsvoorstelal,2
Left,motie-ouwehand/jacobi,1
Left,realisatie,4
Left,verbindingszone,1
Left,icmo-advies,1
Left,motie-ouwehand,5
Left,westerschelde,2
Left,afspraak,14
Left,motie-recourt/van,1
Left,natuurbeheer,2
Left,maatregel,51
Left,motie-ouwehand/van,1
Left,ministerie,10
Left,mestoverschot,3
Left,isolatie,3
Left,stroom,3
Left,spoor,1
Left,elektriciteit,2
Left,inpassing,3
Left,co2-opslag,3
Left,vervuiler,21
Left,alternatief,23
Left,kolencentrale,16
Left,opslag,5
Left,wijziging,7
Left,gezondheidsraad,6
Left,bestrijdingmiddel,3
Left,bron,7
Left,herziening,1
Left,trend,4
Left,verbreding,2
Left,schaalgrootte,1
Left,landbouwbedrijf,2
Left,omgeving,6
Left,onderzoeken,2
Left,energiebesparingsdoel,2
Left,motiepaulus,1
Left,milieuwinst,3
Left,basisregulering,1
Left,aantasting,2
Left,kwaliteitsverbetering,1
Left,kernenergie,25
Left,plaats,5
Left,kerncentrale,8
Left,bouwbesluit,1
Left,gemeente,32
Left,aanleg,2
Left,natuurontwikkeling,1
Left,autobrief,1
Left,uitstoot,96
Left,afrondingshectares,1
Left,vestigingsklimaat,4
Left,status,3
Left,kapitaalvernietiging,2
Left,integriteit,2
Left,siemens,1
Left,bezuiniging,2
Left,onderzoek,13
Left,nuon,2
Left,gedeputeerde,2
Left,vissersvloot,1
Left,energy,3
Left,stadslandbouw,1
Left,vleesconsumptie,5
Left,vernieuwing,1
Left,verbouwing,2
Left,biobrandstof,4
Left,teerzandolie,3
Left,winning,8
Left,mestvergisting,8
Left,nertsenlijkjes,1
Left,bioindustrie,1
Left,zelflevering,1
Left,krachtvoer,1
Left,helft,8
Left,investeringsklimaat,1
Left,consensus,5
Left,boer,35
Left,samenwerking,4
Left,duidelijkheid,5
Left,onderhandelingsakkoord,2
Left,natuurkwaliteit,4
Left,cultuurhistorie,1
Left,voorstel,19
Left,kassa,1
Left,provinciale,1
Left,interprovinciaal,1
Left,natuurwaarid,1
Left,staatssecretaris,67
Left,samenhang,1
Left,financiering,5
Left,noord-brabant,2
Left,wetenschapper,13
Left,mogelijkheid,13
Left,stop,3
Left,draagvlak,16
Left,beschikbaarheid,1
Left,consument,13
Left,duurzaamheidswin,1
Left,olierekening,1
Left,energiescenario,1
Left,akkoord,6
Left,natuurakkoord,1
Left,rechter,22
Left,stikstofmaatrege,2
Left,onduidelijkhed,1
Left,natuurbeleid,3
Left,stikstofproblematiek,2
Left,stikstofemissie,3
Left,stikstofwinst,1
Left,neerslag,1
Left,programmatische,6
Left,veehouderij,25
Left,zekerheid,2
Left,belastingbetaler,3
Left,natuurcompensatie,3
Left,rwe/essent,1
Left,brandstof,15
Left,regeerakkoord,4
Left,rspo,1
Left,rspo-criteria,1
Left,speelveld,6
Left,harmonisatie,1
Left,voorkeur,2
Left,klimaatbuffer,1
Left,waterveiligheid,1
Left,estuarium,1
Left,begrotingsakkoord,1
Left,dechargeverlening,1
Left,generatie,2
Left,voorzorgsbeginsel,2
Left,principe,7
Left,duitsland,6
Left,aantal,41
Left,bes-eilanad,1
Left,aanschaf,1
Left,huurder,12
Left,aarde,3
Left,budget,5
Left,verhuurder,4
Left,terugverdientijd,1
Left,energierekening,26
Left,coöperatie,2
Left,burgerparticipatie,1
Left,ruimte,15
Left,ruggengraat,2
Left,natuurbestemming,1
Left,herijkingen,1
Left,sturing,2
Left,aanpak,27
