group,rank,term,score
Left,1,veeindustrie,0.024
Left,2,aarde maximaal,0.0206
Left,3,diertransporot,0.0201
Left,4,slacht,0.0199
Left,5,ballonn,0.0199
Left,6,vrijblijvendheid,0.0183
Left,7,klimaatplicht,0.0183
Left,8,gifstof,0.0183
Left,9,nationaal verbod,0.0179
Left,10,leefbaar aarde,0.0179
Left,11,granuliet,0.0179
Left,12,steenkoolgas,0.0179
Left,13,recht voedsel,0.0179
Left,14,melkveestapel,0.0175
Left,15,kalfjes,0.0171
Left,16,fossieel reclame,0.0171
Left,17,scrubber,0.0171
Left,18,klimaatonderhandeling,0.0171
Left,19,krimp luchtvaart,0.0171
Left,20,biodiversiteitscrisis,0.0168
Center,1,afrikastrategie,0.0201
Center,2,diepzeemijnbouw,0.0188
Center,3,plancapaciteit,0.0188
Center,4,meetsysteem,0.0188
Center,5,wolhandkrab,0.0183
Center,6,groen regeerakkoord,0.0177
Center,7,restwarmte datacenter,0.0177
Center,8,papier karton,0.0177
Center,9,karton,0.0177
Center,10,scheppink,0.0177
Center,11,benchmarking,0.017
Center,12,inzet ontbossing,0.017
Center,13,meetnet,0.017
Center,14,bovengronds,0.017
Center,15,basisbedrag,0.017
Center,16,smogalarm,0.017
Center,17,inrichting grond,0.017
Center,18,particulier eigenaar,0.0163
Center,19,schieraal,0.0163
Center,20,wijkgericht aanpak,0.0163
Right,1,klimaatwaanzin,0.0242
Right,2,linksliberaal,0.0219
Right,3,hypocriet,0.0219
Right,4,zonneakker,0.0219
Right,5,doemscenario,0.0214
Right,6,massaimmigratie,0.0214
Right,7,obsessief,0.0214
Right,8,dikastocratie,0.0203
Right,9,afschaffing gasaansluitplicht,0.0203
Right,10,sluipmoordenaar,0.0203
Right,11,geolied,0.0196
Right,12,windturbineparken,0.0196
Right,13,megawindturbine,0.0196
Right,14,waanzinnig,0.0196
Right,15,asielzoekerscentra,0.0196
Right,16,kilowattuur elektriciteit,0.0189
Right,17,geolied systeem,0.0189
Right,18,klimaatgekte,0.0189
Right,19,medisch aandoening,0.0189
Right,20,aandoening chronisch,0.0189
