group,rank,term,score
BBB,1,chronisch,0.0563
BBB,2,energieplafond,0.0476
BBB,3,kersenteler,0.0451
BBB,4,zeven actieprogramma,0.0448
BBB,5,energienet,0.0421
BBB,6,drempelwaarde hectare,0.0421
BBB,7,legalisatie,0.0394
BBB,8,gezond voedsel,0.0394
BBB,9,kersenteelen,0.0385
BBB,10,nutriënt,0.0385
BBB,11,kunststofproduct,0.0385
BBB,12,woningbouw defensie,0.0385
BBB,13,keuze burger,0.0385
BBB,14,wolven,0.0385
BBB,15,emissie industrieel,0.0385
BBB,16,waterstof methanol,0.0385
BBB,17,bijmengverplichting groen,0.0385
BBB,18,stikstofslot,0.0385
BBB,19,zeven,0.0378
BBB,20,bedrijf,0.0371
CDA,1,beheerplann,0.0268
CDA,2,holman,0.0268
CDA,3,afrikastrategie,0.026
CDA,4,obligatie,0.026
CDA,5,groen obligatie,0.0251
CDA,6,energiecoöperatie,0.0246
CDA,7,duurzaam,0.0243
CDA,8,aalbeheerplan,0.024
CDA,9,bedrijf,0.0233
CDA,10,energiefonds,0.0232
CDA,11,bodemverbeteraars,0.0232
CDA,12,microplastics cosmetica,0.0232
CDA,13,industriecluster,0.0232
CDA,14,rentmeester,0.0232
CDA,15,vlies,0.0232
CDA,16,maatregel,0.0228
CDA,17,instandhoudingsdoelstelling,0.0228
CDA,18,europees,0.0227
CDA,19,bedrijfsniveau,0.0227
CDA,20,energie,0.0226
D66,1,uitstootvrij,0.0236
D66,2,milieucriminaliteit,0.0234
D66,3,generatie biobrandstof,0.0224
D66,4,duurzaam,0.022
D66,5,rooderkerk,0.0217
D66,6,diepzeemijnbouw,0.0217
D66,7,europees,0.0216
D66,8,biobrandstof,0.0212
D66,9,bedrijf,0.0212
D66,10,energie,0.0211
D66,11,belangrijk,0.021
D66,12,omgevingswet,0.0209
D66,13,natuurlijk,0.0207
D66,14,coheffing industrie,0.0207
D66,15,maatregel,0.0202
D66,16,nodig,0.0202
D66,17,palmolie,0.0202
D66,18,stortplaats,0.0202
D66,19,inzet ontbossing,0.02
D66,20,milieucommissie,0.02
FvD,1,hypermodern kolencentrale,0.0599
FvD,2,hypermodern,0.0599
FvD,3,massaal immigratie,0.0588
FvD,4,dikastocratie,0.058
FvD,5,immigratie,0.0543
FvD,6,obsessief,0.0534
FvD,7,absurd,0.0524
FvD,8,megawindturbine,0.0506
FvD,9,gloednieuw,0.0506
FvD,10,hoeveelheid stikstof,0.0473
FvD,11,massaal bomenkap,0.0473
