party,rank,term,score
BBB,1,oneerlijk concurrentie,0.0993
BBB,2,versnelling,0.0987
BBB,3,sociaal huurwoning,0.0987
BBB,4,biogas,0.096
BBB,5,impact,0.0922
BBB,6,haalbaar,0.0878
BBB,7,windturbineparken,0.0801
BBB,8,ontwikkeling waterstof,0.0801
BBB,9,wetgeving,0.0801
BBB,10,eindelijk,0.0801
BBB,11,verbinding,0.0801
BBB,12,afvang,0.0801
BBB,13,kunstmestproductie,0.0801
BBB,14,verstand,0.0801
BBB,15,luchtvaart internationaal,0.0801
BBB,16,personeel,0.0801
BBB,17,versnelling verduurzaming,0.0801
BBB,18,gezond verstand,0.0801
BBB,19,internationaal niveau,0.0801
BBB,20,oneerlijk,0.0772
CDA,1,duurzaam,0.073
CDA,2,onderneming,0.0687
CDA,3,zonneenergie,0.0684
CDA,4,regionaal luchthaven,0.0629
CDA,5,defensie,0.0629
CDA,6,leveringszekerheid,0.0629
CDA,7,energie gemeente,0.0629
CDA,8,milieu economie,0.0629
CDA,9,lokaal duurzaam,0.0629
CDA,10,inrichting,0.0626
CDA,11,energiebesparing,0.0625
CDA,12,burger bedrijf,0.0608
CDA,13,bedrijf,0.0602
CDA,14,investering,0.0597
CDA,15,energie,0.0594
CDA,16,toekomst,0.059
CDA,17,economie,0.0586
CDA,18,regionaal,0.0584
CDA,19,draagvlak,0.0584
CDA,20,gezamenlijk,0.0558
D66,1,breed welvaart,0.0507
D66,2,procent,0.0495
D66,3,laadpa,0.0489
D66,4,arbeidmarkt,0.0472
D66,5,transportsector,0.0468
D66,6,klimaatticket,0.0468
D66,7,logistiek,0.0468
D66,8,duurzaam,0.0454
D66,9,biodiversiteit,0.0448
D66,10,verbruik,0.0443
D66,11,budget,0.0443
D66,12,binnenvaartschepen,0.0443
D66,13,inkomst,0.0443
D66,14,openbaar,0.0441
D66,15,afspraak,0.0438
D66,16,grens,0.0437
D66,17,openbaar vervoer,0.0434
D66,18,schip,0.0419
D66,19,opslag,0.0418
D66,20,digitaal,0.0418
FvD,1,massaal immigratie,0.1496
FvD,2,adaptatie,0.14
FvD,3,peperduur,0.1368
FvD,4,effect klimaat,0.1203
FvD,5,merkbaar,0.1203
FvD,6,stoppen,0.1203
FvD,7,klimaatplan,0.1197
FvD,8,duurzaamheidseis,0.1197
FvD,9,massaal,0.1158
