party,rank,term,score
CDA,1,afrikastrategie,0.0361
CDA,2,obligatie,0.0356
CDA,3,groen obligatie,0.0343
CDA,4,vraag,0.0338
CDA,5,rentmeester,0.0322
CDA,6,btwverlaging,0.0322
CDA,7,belangrijk,0.0312
CDA,8,cdafractie,0.0312
CDA,9,duurzaam,0.0309
CDA,10,bedrijf,0.0306
CDA,11,industrieterrein,0.0305
CDA,12,connectiviteit,0.0305
CDA,13,natuurlijk,0.0304
CDA,14,aantal,0.0302
CDA,15,keurmerk,0.0301
CDA,16,openbaar lichaam,0.0301
CDA,17,nodig,0.0301
CDA,18,energie,0.0296
CDA,19,klimaatbeleid,0.0292
CDA,20,energiecoöperatie,0.029
D66,1,vraag,0.0273
D66,2,uitstootvrij,0.0265
D66,3,natuurlijk,0.0258
D66,4,belangrijk,0.0254
D66,5,recyclebaar,0.025
D66,6,duurzaam,0.0249
D66,7,bedrijf,0.0249
D66,8,eigenlijk,0.0245
D66,9,europees,0.0243
D66,10,energie,0.0242
D66,11,aantal,0.0241
D66,12,laagfrequent,0.024
D66,13,europees begroting,0.024
D66,14,natuurlijk eigenlijk,0.024
D66,15,laagfrequent geluid,0.024
D66,16,nodig,0.0238
D66,17,klimaatverandering,0.0237
D66,18,coheffing industrie,0.0235
D66,19,maatregel,0.0234
D66,20,energietransitie,0.0231
FvD,1,immigratie,0.0626
FvD,2,massaal immigratie,0.0599
FvD,3,dikastocratie,0.058
FvD,4,hypermodern,0.0558
FvD,5,hypermodern kolencentrale,0.0535
FvD,6,gloednieuw,0.0507
FvD,7,megawindturbine,0.0507
FvD,8,zinloos,0.0501
FvD,9,miljard,0.0497
FvD,10,verbod elektriciteitsproductie,0.0482
FvD,11,absurd,0.0473
FvD,12,inval,0.0461
FvD,13,kolencentrale,0.046
FvD,14,volkomen,0.0442
FvD,15,synthetisch,0.0439
FvD,16,vraag,0.0438
FvD,17,zonneakker,0.0437
FvD,18,megalomaan,0.0437
FvD,19,referendum,0.0433
FvD,20,vogelsterfte,0.0433
GroenLinks,1,einde kabinetperiode,0.0315
GroenLinks,2,vraag,0.0313
GroenLinks,3,klimaatverandering,0.0307
GroenLinks,4,energie,0.03
GroenLinks,5,bedrijf,0.0295
GroenLinks,6,duurzaam,0.0293
GroenLinks,7,productieverhoging,0.0291
GroenLinks,8,aanpak klimaatverandering,0.029
GroenLinks,9,belangrijk,0.0289
GroenLinks,10,eigenlijk,0.0288
GroenLinks,11,nodig,0.028
GroenLinks,12,collega amendement,0.0275
GroenLinks,13,klimaatbeleid,0.0271
GroenLinks,14,aantal,0.027
GroenLinks,15,uitstoot,0.0268
GroenLinks,16,inkomenspolitiek,0.0266
GroenLinks,17,overheid,0.0264
GroenLinks,18,natuurlijk,0.0264
GroenLinks,19,manier,0.0264
GroenLinks,20,vraagstuk,0.0264
PVV,1,elite,0.0468
PVV,2,hypocriet,0.0408
PVV,3,overhead,0.0408
PVV,4,klimaatwaanzin,0.0408
PVV,5,massaimmigratie,0.0384
PVV,6,waanzinnig,0.037
PVV,7,immigratie,0.0368
PVV,8,totaal energieverbruik,0.0361
PVV,9,miljard,0.0356
PVV,10,indoctrinatie,0.0354
PVV,11,flauwekul,0.0354
PVV,12,verwaarloosbaar,0.0352
PVV,13,klimaatbeleid,0.035
PVV,14,energie,0.0349
PVV,15,vraag,0.0337
PVV,16,verliesgevend,0.0336
PVV,17,miljoen huishoudens,0.0336
PVV,18,klimaathysterie,0.0336
PVV,19,rechter stoel,0.0336
PVV,20,wereld kolencentrale,0.0336
PvdA,1,smaak,0.0394
PvdA,2,vraag,0.0377
PvdA,3,schrijver,0.0377
PvdA,4,systeemsprong,0.0377
PvdA,5,pvdafractie,0.0377
PvdA,6,bedrijf,0.0359
PvdA,7,stikstofvervuiling,0.0357
PvdA,8,duurzaam,0.0351
PvdA,9,energie,0.0342
PvdA,10,belangrijk,0.0342
PvdA,11,nodig,0.0338
PvdA,12,collegegeld,0.0334
PvdA,13,klimaatverandering,0.0333
PvdA,14,demissionair,0.0331
PvdA,15,maatregel,0.0325
PvdA,16,energietransitie,0.0324
PvdA,17,probleem,0.0323
PvdA,18,aantal,0.0321
PvdA,19,verdringing,0.032
PvdA,20,moment,0.0317
PvdD,1,veeindustrie,0.0385
PvdD,2,biodiversiteitscrisis,0.0357
PvdD,3,klimaatcrisis biodiversiteitscrisis,0.0306
PvdD,4,teerzandolie,0.0301
PvdD,5,vraag,0.0301
PvdD,6,vrijhandel,0.0296
PvdD,7,veehouderij,0.0291
PvdD,8,duurzaam,0.029
PvdD,9,reductieplicht,0.029
PvdD,10,stalol,0.029
PvdD,11,natuur,0.0287
PvdD,12,landbouwgif,0.0285
PvdD,13,plantaardig,0.0282
PvdD,14,veevoer,0.0282
PvdD,15,eiwit,0.028
PvdD,16,uitstoot,0.0279
PvdD,17,klimaatverandering,0.0279
PvdD,18,fossieel subsidie,0.0277
PvdD,19,uitstoot luchtvaart,0.0277
PvdD,20,zoönose,0.0277
VVD,1,overgang duurzaam,0.0347
VVD,2,vraag,0.0267
VVD,3,vraagstuk,0.0266
VVD,4,bedrijf,0.0261
VVD,5,hoogcalorisch,0.0261
VVD,6,energie,0.0256
VVD,7,natuurlijk,0.0255
VVD,8,impactassessment,0.0253
VVD,9,duurzaam,0.0252
VVD,10,belangrijk,0.0246
VVD,11,prijsstijging,0.0245
VVD,12,dividend,0.0245
VVD,13,nodig,0.0244
VVD,14,maatregel,0.0242
VVD,15,uitstoot,0.0238
VVD,16,manier,0.0237
VVD,17,kolencentrale,0.0236
VVD,18,fossieel duurzaam,0.0236
VVD,19,aantal,0.0234
VVD,20,overgang,0.0234
