original_index,party,year,source_file,pages,text,relevance_reason,climate_topics,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization,dominant_frame,dominant_frame_score,n_frames_present,has_parse_failure
0,bbb,2021,bbb-2021.pdf,1-4,"Zeker nu groen (weilanden, coulissenlandschappen) dreigt te worden ingeruild voor grijs (industrie, zonneparken, distributie- en datacentra, wegen) is het meer dan noodzakelijk dat de stem van én voor het platteland wordt vertegenwoordigd in Den Haag.",Vermeldt expliciet zonneparken als bedreiging voor het platteland in de context van energietransitie,"zonne-energie, energietransitie, platteland",1,2,1,1,2,2,3,weaponization,3,1,False
1,bbb,2021,bbb-2021.pdf,3-8,De emissies en vastlegging van broeikasgassen worden verrekend (dus uitstoot minus vastlegging). Dat is de werkelijke uitstoot.,Direct over broeikasgasemissies en klimaatboekhouding,"broeikasgassen, emissies, CO2-vastlegging",1,1,1,1,1,1,1,economic,1,0,False
2,bbb,2021,bbb-2021.pdf,14-19,"Het kwartje van Kok moet, zoals 30 jaar geleden al beloofd, nu eindelijk maar eens worden afgeschaft. Met andere woorden: de brandstofaccijnzen moeten worden teruggebracht met dit bedrag. Dit levert het bedrijfsleven een grote kostenbesparing op en de overheid toont zich dan eindelijk een betrouwbare partner.","Betreft brandstofbeleid en accijnzen op brandstoffen, wat relevant is voor energietransitie en klimaatbeleid","brandstofbeleid, energietransitie",4,1,1,1,1,1,2,economic,4,1,False
3,bbb,2021,bbb-2021.pdf,22-26,Het landschap is evenveel waard als het klimaat. Er komen geen zonnepanelen in het buitengebied zolang er nog lege daken en terreinen zijn. Nieuwe zonneparken worden getoetst aan de 'zonneladder' of een vergelijkbaar afwegingskader.,Betreft beleid voor plaatsing van zonne-energie met afwegingskader,"zonne-energie, energietransitie",2,1,2,1,2,1,2,economic,2,0,False
4,bbb,2021,bbb-2021.pdf,22-26,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt.",Bevat concrete beleidsvoorstellen voor plaatsing van zonnepanelen en opwekking van groene energie,"zonne-energie, hernieuwbare energie",1,1,2,1,3,1,2,health_environment,3,1,False
5,bbb,2021,bbb-2021.pdf,22-26,"BBB is echter het meest voor kernenergie als schone energiebron. Voor een structurele energieproductie, zonder aantasting van ons mooie landschap, zonder aanpassing van ons energienet kunnen veilige kerncentrales gebouwd worden. Geen CO2 uitstoot en een goedkope grondstof. Nieuwe technieken bieden nieuwe veilige inzichten: w.o. kernenergie.",Kernenergie wordt gepresenteerd als klimaatvriendelijk alternatief zonder CO2-uitstoot,"kernenergie, CO2-reductie, energietransitie",2,1,1,2,1,1,1,economic,2,0,False
6,bbb,2021,bbb-2021.pdf,22-26,"Groenafval wordt niet gestookt in biomassacentrales, maar ingezet ter verbetering van de bodem en bevordering van de groei van planten.",Betreft alternatief voor biomassacentrales als energiebron,"biomassa, hernieuwbare energie",1,1,1,1,2,1,1,health_environment,2,0,False
7,bbb,2021,bbb-2021.pdf,25-29,"Er wordt een breed palet aan energiebronnen ingezet. De energietransitie krijgt een realistisch tempo waarbij betrouwbaarheid en betaalbaarheid voorop staan. Nieuwe technologieën bieden nieuwe veilige inzichten: w.o. kernenergie. Groenafval wordt niet gestookt in biomassacentrales, maar ingezet ter verbetering van de bodem en bevordering van de groei van planten.","Betreft direct energietransitie, kernenergie en biomassacentrales als onderdeel van het energiebeleid","energietransitie, kernenergie, biomassa",2,1,1,2,1,1,1,economic,2,0,False
8,bbb,2021,bbb-2021.pdf,25-29,"Alle stikstofmaatregelen gaan van tafel en er komen geen nieuwe maatregelen. Zolang de agrarische sector onder het, door de EU verplichte, stikstofplafond blijft, is er in principe geen enkele reden om via miljarden kostende stikstofmaatregelen de natuur te herstellen. Er wordt gekeken naar doelmatige alternatieven voor de stikstofmaatregelen. Een verzuurd natuurgebied kan bijvoorbeeld heel eenvoudig worden hersteld door het toevoegen van kalk. Een methode die door boeren en tuinders al eeuwen wordt toegepast op hun eigen bodem. Ratio gaat boven emotie. De zogenoemde Kritische Depositiewaardes (de hoeveelheid stikstof die mag neerslaan op een natuurgebied) zijn onhaalbaar. Als alle vee, alle verkeer, alle mensen, alle luchtvaart en alle industrie uit Nederland is verdwenen, dan nog is de stikstofdepositie in tientallen natuurgebieden te hoog. Er komen haalbare normen waardoor het mooie karakteristieke Hollandse landschap beschermd en beheerd blijft.",Betreft stikstofbeleid en depositienormen die gekoppeld zijn aan klimaat- en milieumaatregelen,"stikstof, emissies, depositienormen",4,1,2,1,3,1,4,economic,4,3,False
9,bbb,2021,bbb-2021.pdf,29-31,In steden wordt meer groen aangelegd voor de recreatie en ontspanning van de stadsbewoners. Dit is goed voor het klimaat en zorgt voor minder hoge temperaturen in de volle en drukke stad.,Dit beleidsvoorstel koppelt groenvoorziening expliciet aan klimaatvoordelen en temperatuurbeheersing in stedelijke gebieden,"klimaatadaptatie, stedelijk groen, hitte-eilandeffect",1,1,2,1,3,1,1,health_environment,3,1,False
10,bbb,2023,bbb-2023.pdf,16-17,"Zolang veranderingen in de landbouw worden uitgedrukt in stikstof, koeien en geld, slaan we de plank mis. Wat is, behalve de ecologische impact, de sociale en maatschappelijke impact van de landbouw transitie? Daar zou het over moeten gaan.",Verwijst naar de landbouwtransitie en stikstofproblematiek in de context van beleidsveranderingen,"stikstof, landbouwtransitie",1,1,1,1,2,1,2,health_environment,2,0,False
11,bbb,2023,bbb-2023.pdf,18-20,"Ja, het kan nog veel duurzamer, maar het pad daarheen moet menselijker, realistischer en waardiger. Als we kiezen voor een klimaatrevolutie in plaats van -evolutie dan zal onze industrie instorten en zullen veel mensen de strijd tegen klimaatverandering de rug toekeren. We moeten kijken naar draagbaarheid, haalbaarheid en uitvoerbaarheid van klimaatbeleid. Ook dit moeten we niet vanuit 1 perspectief bekijken, de maatschappelijke en sociale impact meewegen zijn cruciale ingrediënten voor succes.","Direct over klimaatbeleid, klimaatverandering en hoe dit uitvoerbaar gemaakt moet worden","klimaatverandering, klimaatbeleid, verduurzaming, klimaatrevolutie",3,2,1,1,1,2,2,economic,3,1,False
12,bbb,2023,bbb-2023.pdf,22-24,"Wat het sociale klimaat in Nederland betreft, is BBB wel degelijk voor klimaatverandering.","Bevat het woord 'klimaatverandering' maar gebruikt dit als woordspeling over sociaal klimaat, niet over milieu/energie",klimaatverandering,1,1,1,1,1,1,2,weaponization,2,0,False
