id,normalized_text,year,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
ed059e37-5b2b-42f6-8986-594415f96896,"Motie Snijder-Hazelhoff c.s. over een juridische afbakening van het voorzorgsbeginsel van Natura 2000 gehoord de beraadslaging, overwegende, dat op basis van uitspraken van de Raad van State en het advies van de -Trojan kan worden geconcludeerd dat Nederland de richtlijnen van Natura 2000 niet strenger heeft geïmplementeerd dan noodzakelijk is; overwegende, dat de praktische reikwijdte van Natura 2000 voor Nederland erg groot is door de spreiding van de gebieden in combinatie met ieders externe werking; overwegende, dat hierdoor het voorzorgsbeginsel van Natura 2000 voor een zeer groot deel van Nederland van kracht is; overwegende, dat dit voorzorgsbeginsel geen juridische afbakening kent, anders dan dat deze reeds is gevormd door jurisprudentie; van mening, dat een juridische afbakening van het voorzorgsbeginsel in de richtlijn kan bijdragen aan het verminderen van onbedoelde negatieve effecten voor het Nederlandse bedrijfsleven en de ruimtelijke ontwikkeling; verzoekt de regering om de Europese evaluatie van de Vogel- en Habitatrichtlijn in 2009 aan te grijpen om tot een werkbare juridische afbakening van het voorzorgsbeginsel te komen, waarbij een hanteerbaar kader wordt geformuleerd voor de omgang met wetenschappelijke onzekerheid, de schadedrempel en de toedeling van de bewijslast,",2008,3,1,2,1,2,1,3
c400cc45-e34a-4b48-8041-22cb63907ffe,"Motie Vendrik/De Krom over een plan van aanpak voor versnelde introductie van elektrische auto's gehoord de beraadslaging, constaterende, dat in de Kamer brede steun bestaat voor het creëren van kansen voor de grootschalige introductie van schone en zuinige auto’s; overwegende, dat elektrische auto’s op deze punten erg goed scoren; constaterende, dat minister Eurlings in zijn brief over de kabinetsdoelstellingen voor de verkeerssector in het kader van schoon en zuinig expliciet verwijst naar de kansen die elektrische auto’s bieden; verzoekt de regering om een plan van aanpak voor het wegnemen van de belemmeringen die de versnelde introductie van elektrische auto’s in de weg staan, waarin onder meer wordt ingegaan op de fiscaliteit, het wagenpark van de overheid, investeringen in technologische ontwikkelingen en de realisatie van elektrische infrastructuur en oplaadpunten,",2008,3,1,1,1,2,2,1
ddbd921d-3c79-4a93-919b-126a7dafc7dc,"Motie Graus over het afbouwen van de kapitale subsidies aan ""natuurkolchozen"" gehoord de beraadslaging, verzoekt de regering de kapitale subsidies die de overheid aan «natuurkolchozen» als Staatsbosbeheer, Natuurmonumenten en Provinciale Landschappen betaalt, af te bouwen ten bate van lastenverlichting voor onze boeren en burgers,",2008,4,1,1,1,1,1,4
95b20a59-b801-477d-917a-2b6e11625974,"Motie Hessels c.s. over participatie van TenneT in een project voor het aanleggen van een elektriciteitsbuffer gehoord de beraadslaging, overwegende, dat een verregaande toename van duurzame en decentrale opwekking van elektriciteit zal leiden tot een groot beroep op de balanceringscapaciteit van het elektriciteitsnet; overwegende, dat opname van een grootschalige elektriciteitsbuffer in de hoofdinfrastructuur een belangrijk aandeel zou kunnen hebben binnen de benodigde balanceringscapaciteit; overwegende, dat deelname door netbeheerder TenneT in een dergelijke grootschalige elektriciteitsbuffer in lijn zou zijn met de taakopdracht van TenneT om het net te balanceren, waarbij TenneT maximaal de elders te besparen kosten voor balanshandhaving kan inbrengen; spreekt uit dat het wenselijk is dat – indien een dergelijke grootschalige elektriciteitsbuffer binnen een privaat project gerealiseerd wordt – deze buffer opgenomen wordt in het landelijk elektriciteitsnet; verzoekt de regering te bevorderen dat netbeheerder TenneT omwille van de balancering van het net zal participeren binnen een project om een grootschalige elektriciteitsbuffer aan te leggen,",2008,3,1,1,1,1,1,1
30bcec98-2445-4ca3-942c-66b70b2753b5,"Motie- Koppejan c.s. over het naar de Europese Commissie sturen van een nationaal aalbeheerplan gehoord de beraadslaging, constaterende, dat het niet goed gaat met het Europese aalbestand; constaterende, dat de EU-lidstaten hun nationale aalbeheerplan voor goedkeuring dienen in te dienen bij de Europese ; overwegende, dat noodzakelijke maatregelen die het herstel van het aalbestand beogen, pijnlijke gevolgen zullen hebben voor beroepsvissers die bij hun broodwinning in belangrijke mate afhankelijk zijn van de aalvangst; overwegende, dat de direct betrokkenen vanuit de binnenvisserij vertegenwoordigd door de Combinatie van Beroepsvissers, de PO-IJsselmeer en het Productschap Vis tot op heden onvoldoende inspraak hebben gehad op het voor hen zo belangrijke aalbeheerplan; overwegende, dat de uitvoering van een aalbeheerplan meer kans heeft op succes naarmate er vooraf meer inspanningen zijn verricht om alle partijen te betrekken bij de opstelling en wijze van uitvoering van de plannen; verzoekt de regering: – voor 31 december 2008 een nationaal aalbeheerplan naar de Europese te sturen waarin nog alle ruimte wordt gelaten voor een nadere invulling en het maken van definitieve keuzes ten aanzien van de te nemen maatregelen; – op korte termijn alle direct betrokkenen middels hun vertegenwoordigers, alsnog inspraak te geven bij de definitieve invulling van het aalbeheerplan en de hier voor 1 april 2009 over te informeren, 2 2008–2009 0809 31700XIV-22 0921 - 7371 2008 , 2008–2009, 31 700 XIV, 22 1",2008,2,1,2,1,3,1,3
eda65978-7479-4787-ae5f-b61c9b1b3d88,"Motie Ouwehand en Van Gent een actieprogramma voor beschermining van gebieden op de Noordzee gehoord de beraadslaging, constaterende, dat de Noordzee een natuurgebied is dat sterk onder druk staat, zoals recent weer bevestigd in de Natuurbalans 2008; constaterende, dat het kabinet erkent dat er voor de bescherming van mariene gebieden een inhaalslag nodig is, maar dat geen sprake is van een krachtig en coherent programma voor de realisering hiervan; verzoekt de regering een helder actieprogramma op te stellen voor het beschermen van gebieden op de Noordzee, met afrekenbare deadlines en voldoende budget,",2008,1,1,3,1,2,2,1
429f5bbf-a272-4e7b-aaa3-c69f4c864334,"Motie Ouwehand c.s. over een plan van aanpak voor de teelt van eiwitgewassen gehoord de beraadslaging, constaterende, dat de regering binnen de kabinetsbrede aanpak Duurzame Ontwikkeling werk wil maken van verduurzaming van de eiwitconsumptie en -productie; van mening, dat de teelt van eiwitgewassen, zoals bonen en lupinen, in Nederland een grote bijdrage kan leveren aan de verduurzaming van de eiwitconsumptie en kansen biedt voor een duurzame landbouw; verzoekt de regering samen met agrarische partners een plan van aanpak op te stellen voor de verdere ontwikkeling en uitbreiding van de teelt van eiwitgewassen,",2008,1,1,1,1,2,1,1
1a5d3b92-7ab1-4ed3-a3c0-7a1297dc0284,"Motie Jansen en Vendrik over het in ere herstellen van het Elektriciteitsplan gehoord de beraadslaging, overwegende, dat een optimale combinatie van brandstofmix, centraal/ decentraal vermogen, locatiekeuzen en infrastructuur van belang is voor de realisatie van een duurzame elektriciteitsvoorziening tegen de laagste maatschappelijke kosten; verzoekt de regering om binnen een jaar een voorstel aan de Kamer voor te leggen om het Elektriciteitsplan in ere te herstellen, rekening houdend met de inmiddels gewijzigde omstandigheden, in het bijzonder Europese wetgeving,",2008,4,1,1,1,2,1,1
f1fb0afd-794d-4429-90bb-f4c42eb5e357,"Motie Snijder-Hazelhoff c.s. over de verplichting om beheermaatregelen juridisch te verankeren gehoord de beraadslaging, overwegende, de noodzaak tot juridische borging van de beheermaatregelen in de beheerplannen; overwegende, dat de beheerplannen op zichzelf, zoals ook in de handreiking van de minister is aangegeven, geen rechtens afdwingbare maatregelen kunnen opleggen noch rechten kunnen verlenen; overwegende, dat conform de habitatrichtlijn een lidstaat zich vrijblijvend en desgewenst mag bedienen van dergelijke plannen; overwegende, dat conform de richtlijn de zogenaamde beheermaatregelen verplicht juridisch verankerd dienen te worden; verzoekt de regering zo spoedig mogelijk aan te geven wanneer en op welke wijze aan deze verplichting invulling zal worden gegeven,",2009,1,1,1,1,2,2,1
7a1f50b4-e736-447d-85b9-1d4da1774f6b,"Motie Jacobi over opnemen van de oplevertoets voor het beheerplan gehoord de beraadslaging, overwegende, dat de adviesgroep Huys bruikbare aanbevelingen doet over het maken van een Natura 2000-ontwikkelingsplan waarbij de instandhoudingsdoelen ook op termijn kunnen worden geschoven; overwegende, dat de adviesgroep Huys daarbij opmerkt dat zeker gesteld moet worden dat de beheermaatregelen uit dit plan ook daadwerkelijk worden uitgevoerd en dat hiervoor een vorm van een wettelijke oplevertoets een mogelijkheid biedt; van mening, dat het «op termijn» behalen van de natuurdoelen niet mag betekenen «met Sint Juttemis»; verzoekt de regering het N2000-ontwikkelingsplan als onderdeel van het beheerplan op te nemen, waarbij de uiterste datum waarop de gunstige staat van instandhouding bereikt moet zijn, gesteld wordt op 20 jaar na aanwijzing of zoveel eerder als mogelijk is; verzoekt de regering tevens in de NB-wetswijziging in het kader van de Crisis- en herstelwet de oplevertoets voor het beheerplan op te nemen,",2009,1,1,2,1,3,3,1
21a6327d-ff69-49dd-b1f4-00662b3f442f,"Motie Thieme/Halsema over een campagne voor ten minste één dag per week geen vlees eten gehoord de beraadslaging, constaterende, dat de grootschalige consumptie van dierlijke eiwitten een negatieve invloed heeft op het klimaat, de voedselverdeling, de zoetwatervoorraad, de biodiversiteit en het welzijn van dieren; overwegende, dat de Belgische steden Gent en Hasselt hun bevolking hebben opgeroepen, één dag per week geen vlees te eten; overwegende, dat uit berekeningen van het Instituut voor Milieuvraagstukken van de VU blijkt dat één dag geen vlees zou kunnen leiden tot het behalen van alle klimaatdoelstellingen voor huishoudens die het kabinet zich gesteld heeft voor 2012; verzoekt de regering een campagne te starten waarin de Nederlandse bevolking wordt aangeraden ten minste één dag per week geen vlees te eten,",2009,1,2,3,1,4,2,1
