sample_idx,doc_id,party,year,text,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
0,ParlaMint-NL_2017-02-07-tweedekamer-21.u308,VVD,2017,Ik heb de Kamer op 3 januari geïnformeerd over hoe ik de motie van de heer Jan Vos over een verhoogd SDE+-tarief voor kleinschalige windprojecten zal gaan uitvoeren. Op 26 januari heb ik daarover aanvullende vragen beantwoord. ECN is naar aanleiding van die motie op mijn verzoek een aanvullend onderzoek gestart naar de kostenprofielen voor kleinschalige windprojecten. Daaruit moet dan blijken of en in hoeverre een verhoogd SDE+-tarief noodzakelijk is en hoe dat dan vormgegeven kan worden zonder dat de energietransitie daar onnodig duur door wordt. Mevrouw Van Veldhoven was de volgende spreekster. Ik ben ingegaan op de kolencentrales en op de doelen van het energieakkoord.,3,1,3,1,1,1,1
1,ParlaMint-NL_2017-11-29-tweedekamer-7.u244,FvD,2017,"Nog een persoonlijk woordje, dat ik verder zal toelichten. Schrikt u niet. Ik denk dat ook bescheidenheid aan de dag zal moeten worden gelegd. Het zou kunnen zijn dat er met name bij minister Grapperhaus enige hoogmoed op de loer ligt.",1,1,1,1,1,1,1
2,ParlaMint-NL_2019-12-11-tweedekamer-7.u42,VVD,2019,"Dat is een heel goed punt en het stond ook in mijn tekst. Om even concreet te worden: ik zou op dat punt een toezegging willen dat we eerst even de evaluatie van die kantoren ordentelijk doen, zodat we ook kunnen kijken naar wat we moeten borgen. Wat gaat er misschien verloren en hoe gaan we het doen? Ik vind het goed dat we in de ambassades daar meer aandacht voor gaan vragen. Tegelijkertijd zeggen diezelfde ambassades: omdat we dat netwerk nu hebben, kunnen we het goed doen. Als dat opeens van de ene op de andere dag weg is, ben ik er niet zeker van dat we dat nog goed op orde krijgen. Er is een hele mooie missie naar Indonesië geweest. Daar zit een heel groot kantoor. Daar werken ze heel goed samen met de ambassade. Dus ik vind dat je dat netjes moet doen. Ik denk dat dit iets te snel is. Dus ik zou zeggen: doe eerst een evaluatie. Kijk wat je wilt behouden en waar de netwerken wel of geen rol bij kunnen spelen.",1,1,1,1,1,1,1
3,ParlaMint-NL_2021-06-17-tweedekamer-7.u32,CDA,2021,"Ik zit te denken. Volgens mij zitten we niet zo heel ver uit elkaar in wat we eigenlijk willen. Ik denk alleen dat als je iets niet moet moeten, maar wel zou moeten willen of eigenlijk moet willen, namelijk een sterke beroepsgroep die zich emancipeert en professionaliseert en die er zelf over gaat wat die professionaliteit dan inhoudt en dat ook bijhoudt … Dat willen we volgens mij in principe Kamerbreed. Mijn enige punt is dan het volgende. Als we dadelijk zover zijn, dan gaan we dat registreren. Er ligt nu al een wettelijk kader. Waarom zou ik het dan nu moeten stoppen, waardoor ik twee jaar vertraging zou oplopen? Dat vraag ik me gewoon af. Als het niet hindert als het er ligt … Mij hindert het niet. Het ligt er goed. U zei net dat de leraren stonden te juichen omdat het in de koelkast ligt.",1,1,1,1,1,1,1
4,ParlaMint-NL_2021-09-28-eerstekamer-11.u282,D66,2021,"Op zich staat niks ondertekening in de weg, niks juridisch in ieder geval. Zoals ik heb gezegd, zijn er twee elementen in de Woo die grotendeels ook in de Wob staan, die daar niet mee in overeenstemming zijn. Maar bijvoorbeeld Zweden heeft ook voorbehouden gemaakt bij het ratificeren, bij het ondertekenen. Als je het vervolgens hebt geratificeerd, rust er ook een soort plicht op je om die twee weer te bekijken als je daar geen voorbehoud zou maken als Nederland.",1,1,1,1,1,1,1
5,ParlaMint-NL_2018-12-11-tweedekamer-2.u2,PVV,2018,"Voorzitter. Het is gewoon niet waar! We worden voor de gek gehouden. Want gisteren nog werd bekend dat de energierekening dubbel zo hard stijgt, met maar liefst €300. Hoe zit het dan nu met dat zogenaamde totale koopkrachtplaatje? En hoe gaat de staatssecretaris al die huishoudens, die nu al moeite hebben om maandelijks rond te komen, compenseren? Gaat zij nu eindelijk een streep zetten door dat peperdure klimaatbeleid? Dit is nu waar klimaatbeleid toe leidt. Dit is klimaatbeleid in de praktijk: de gewone man en vrouw moeten bloeden.",5,1,1,1,1,1,4
6,ParlaMint-NL_2021-07-08-tweedekamer-8.u78,VVD,2021,"Hoe het demissionaire kabinet daar op dit moment mee omgaat en wat daar wel of niet binnen valt, is al helemaal niet aan mij hier. Deze motie vraagt wel heel erg concreet om een voorstel bij het Belastingplan over een verlaging van de ODE-heffing. Ik zou dus zeggen: laat dat nou een integrale afweging voor een nieuw kabinet zijn, zodat je in zijn geheel kan zien wat dat betekent voor de lasten van burgers en mkb'ers. Volgens mij delen wij die inzet wel, maar is dat niet iets wat je hier apart moet gaan regelen. Sowieso kan ik dat demissionair niet regelen.",4,1,1,1,1,1,1
7,ParlaMint-NL_2019-11-28-tweedekamer-10.u418,VVD,2019,"De heer Wörsdörfer vroeg wat ik nog meer kan doen om ervoor te zorgen dat webshops maatschappelijk verantwoord gedrag laten zien, of hier een code voor is en of we in gesprek kunnen gaan met vertegenwoordigers van deze branche. Het gaat over het sociaal incasseren van private partijen, zoals webwinkels. Ik ben bereid om in gesprek te gaan met de Schuldeiserscoalitie. Dat is een groep van primaire schuldeisers die ernaar streeft om klanten die slecht betalen of niet kunnen betalen proactief te helpen. Een belangrijk doel van deze coalitie is om probleemschulden te voorkomen. Denk aan partijen als Achmea, bol.com, CZ, Nationale Nederlanden, Vodafone en Ziggo.",1,1,1,1,1,1,1
8,ParlaMint-NL_2020-11-17-tweedekamer-51.u7,PVV,2020,"Met meer dan 1.600 miljard euro in kas dreigen er nog altijd onnodige kortingen. Voorzitter. We moeten de verzorgingsstaat beschermen, voor onze eigen mensen. Zet daarom, zoals we al zo vaak hebben bepleit, de volgende stappen. Erken dat het behoud van onze verzorgingsstaat en massa-immigratie een onmogelijke combinatie vormen.",2,1,1,1,1,1,1
9,ParlaMint-NL_2018-10-09-eerstekamer-7.u50,VVD,2018,"Wat betreft de noodzakelijke fysieke maatregelen gaat het om het viersporenbeleid dat de minister heeft ingezet om de vraag naar laagcalorisch gas zo snel mogelijk terug te brengen naar nul, met als streefdatum 2030, en met trajecten van conversie en verrijking van respectievelijk hoog- en laagcalorisch gas. Met het oog op die onderlinge afhankelijkheid en het van ons gevraagde oordeel over de uitvoerbaarheid in relatie tot die verschillende veiligheidsaspecten vragen de leden van mijn fractie de minister ons inzicht te verschaffen in zijn verwachtingen rondom die geplande ontwikkelingen, zodat de met dit wetsvoorstel beoogde doelen ook de nodige vaste grond onder de voeten gaan krijgen. De minister is hier in zijn schriftelijke beantwoording al op ingegaan, maar toch willen wij de minister vragen nogmaals meer specifiek in te gaan op de overschakeling van industriële grootverbruikers op duurzame energiebronnen of hoogcalorisch gas, ook met het oog op de huidige vertakking van het daarbij behorende hoogcalorische gasnetwerk.",1,1,2,1,2,2,1
10,ParlaMint-NL_2022-03-23-tweedekamer-8.u82,D66,2022,"Die vraag snap ik heel goed. Ik denk dat de heer Sjoerdsma en ik elkaar niet moeten misverstaan. Het is niet zo dat het absoluut niet mag en morgen dicht moet, want ik denk dat de heer Sjoerdsma ook wel weet dat het ook niet morgen gebeurd is als wij niet gaan inzetten op de niet-duurzame alternatieven die ik net opnoemde. Er zijn ook niet-duurzame alternatieven voorhanden in andere landen, zoals Algerije. Maar ik probeer hier aan te geven dat je je ook in een tijd van crisis op de lange termijn moet instellen. Laten we ons, in plaats van dat we nu met paniekvoetbal teruggaan naar kolencentrales, instellen op die duurzame toekomst.",1,1,1,2,2,2,1
11,ParlaMint-NL_2018-01-25-tweedekamer-6.u118,PVV,2018,"Kijk, de heer Bisschop gaat niet voor mij bepalen wat ik hier moet zeggen, ja. Ik laat mij niet op welke manier dan ook in zijn frame trekken. Zou hij misschien de waardering kunnen opbrengen om inhoudelijk op mijn verhaal in te gaan, bijvoorbeeld op de kosten van de hele energietransitie, waar hij zo'n fan van is? Kunt u daar dan eens een keer op ingaan? U presenteert het hier als een vaststaand feit dat we de energietransitie door moeten voeren.",2,1,1,1,1,1,1
12,ParlaMint-NL_2019-10-29-eerstekamer-6.u430,VVD,2019,"Dan over de Klimaatwet. De heer Schalk vroeg daarnaar, maar ook anderen. Wat wij willen bereiken, zoals bekend, is een reductie van 95% in 2050 als het gaat om die CO-uitstoot. Is het kabinet bereid om initiatieven voor duurzame landbouw te stimuleren en met de boeren een oplossing te vinden op het punt van de kringlooplandbouw? Ik wil daarbij onderstrepen wat ook de inbrengers van die vragen al gezegd hebben, namelijk dat de minister van LNV haar visie op de kringlooplandbouw onlangs naar het parlement heeft gestuurd, samen met verschillende andere overheden en partijen, maar zeker ook met de boeren. Er wordt gewerkt aan de transitie naar een kringlooplandbouw en in de LNV-visie wordt op verschillende wijzen aangegeven dat het kabinet initiatieven voor duurzame landbouw ondersteunt, kijk bijvoorbeeld naar de vijf experimenteergebieden en de pilotprojecten voor diversiteit. Wij hebben heel intensief contact met de Duitsers op dit punt. We hebben een gezamenlijke vergadering gehad van onze twee klimaatkabinetten, dus onze ministeriële commissie en het Duitse Klimakabinett, op 22 augustus in het Catshuis en dat is op 2 oktober in Berlijn voortgezet. Je ziet ook dat er heel veel convergentie is in maatregelen, maar niet op alles. Op één punt zie je dat de Duitsers het anders doen, als het gaat om het Emissions Trading System uitbreiden naar auto's en gebouwde omgeving. Voor de kolencentrales geldt dat zij nu al bezig zijn met de uitfasering van een groot deel van de aanwezige kolencentrales en dat ze gaan proberen om de totale afbouw in 2035 te doen. Dat gaan ze in 2032 definitief besluiten. In die zin, als je het helemaal naast elkaar zet, is er niet heel veel verschil tussen wat Nederland en Duitsland met de kolencentrales doen.",1,1,2,1,2,1,1
13,ParlaMint-NL_2021-06-29-eerstekamer-9.u366,VVD,2021,"Ik zou niet willen zeggen dat we aan het rommelen zijn. Het is een systematiek die we al heel lang met elkaar hebben. Het kan best zijn dat je op basis van draagvlak, nieuwe inzichten of politieke inzichten, die allemaal even relevant kunnen zijn, vindt dat die systematiek niet meer voldoet. Mijn betoog is alleen dat we dat niet hier in Nederland bij bijvoorbeeld één wetsvoorstel voor onszelf moeten bepalen, want daar hebben we uiteindelijk zelf alleen maar last van. Dat is mijn betoog nu hier. Dit is hoe het al een hele tijd gaat. Ik zie dat het draagvlak, bijvoorbeeld voor laagwaardige toepassing van houtige biomassa, is afgenomen.",1,1,1,1,1,1,1
14,ParlaMint-NL_2022-06-01-tweedekamer-5.u88,D66,2022,"Ik begin bij de bijdrage van collega Bromet. We gaan terug naar 2011, naar de motie-Grashoff, die, naar nu blijkt, door medewerker Bromet is geschreven. Ook de motie-Ouwehand/Schouw speelt een rol in dit debat. De heer Schouw is een van mijn voorgangers bij D66. Je moet eigenlijk zeggen: je moet ook de verkoop verbieden. Het verzoek aan de regering elke keer, nu al meer dan tien jaar, is duidelijk: voorkom zo veel mogelijk het gebruik van schadelijke gewasbeschermingsmiddelen en bescherm onze gezondheid en onze waterkwaliteit. Deze wet is dus een goede stap voorwaarts. We hopen dat de staatssecretaris deze kans, dit haakje, ook echt zal aangrijpen om dat verbod daadwerkelijk door te voeren en om op die manier het gebruik van gewasbeschermingsmiddelen terug te dringen. Want het is urgenter dan ooit. Het is al eerder gememoreerd door andere collega's: we staan aan de voet van een stikstofachtige crisis als het gaat om de Kaderrichtlijn Water, dat weten we nu al. Op grond van een motie van D66 is in een vorige kabinetsperiode al nagegaan door het ministerie van IenW wat de risico's zijn als we de doelen van de Kaderrichtlijn Water niet gaan halen. Die zijn flink, want ook de Kaderrichtlijn Water bevat net als de Vogel- en Habitatrichtlijn een verslechteringsverbod. Dat betekent dus dat je lokaal mogelijk ook weer geen vergunningen meer kunt gaan afgeven als je niet kunt aantonen dat die waterkwaliteit niet verslechtert. Voorzitter. In het licht van die dreiging van de Kaderrichtlijn Water zou het ook goed zijn als de staatssecretaris een bredere bevoegdheid krijgt, niet om het meteen te doen maar wel om te kunnen ingrijpen, ook buiten uiterwaarden, want ook daar dreigt mogelijk uitspoeling of verwaaiing. Dat is natuurlijk niet een maatregel die de staatssecretaris zomaar moet nemen, maar dat is slechts het wettelijke haakje. Dat is ook de strekking van het amendement dat wij mede met GroenLinks en de PvdA hebben ingediend en om te zien dat het verbruiksverbod direct een positief effect heeft gehad op de waterkwaliteit. Voorzitter. Afsluitend. In het coalitieakkoord hebben we ook afgesproken dat we de omslag naar geïntegreerde gewasbescherming gaan versnellen, waar collega Staghouwer over gaat, maar ook door de normen voor het gebruik af te stemmen op de Kaderrichtlijn Water. Dat is weer uw portefeuille. Op welke wijze geeft de staatssecretaris invulling aan die bepaling uit het coalitieakkoord? Met andere woorden, hoe gaat zij de doelen van de Kaderrichtlijn Water oplijnen met het gebruik van de middelen? Want alleen zo gaan we onze waterkwaliteit beschermen en gaan we ons aan de wet houden.",1,1,2,1,4,3,1
15,ParlaMint-NL_2022-02-02-tweedekamer-3.u2,CDA,2022,"Voorzitter. De CDA-fractie is voorzichtig positief over de brief die de minister maandag naar de Kamer stuurde over de toekomst van vuurtoren Lange Jaap bij Den Helder, al moet mij van het hart dat het best gek is dat een vuurtoren die op het ene moment nog op instorten staat, op het andere moment alsnog gered lijkt te kunnen worden. De conclusie moet zijn, zoals de CDA-fractievoorzitter in Den Helder, Harmen Krul, mij zei, dat Rijkswaterstaat wel de veiligheidsfunctie van de vuurtoren in de vingers heeft maar niet het waarborgen van de monumentale functie. En dat moet anders. De CDA-fractie gaat voor behoud en herstel van de Lange Jaap en, wanneer onverhoopt nodig, voor herbouw.",1,1,1,1,1,1,1
16,ParlaMint-NL_2019-11-12-tweedekamer-12.u72,PvdD,2019,"Hij zegt aan de ene kant: ik denk dat het eigenlijk veel sneller gaat. De wetenschap geeft hem daar voorlopig geen gelijk in. Sterker nog, gisteren stond er een lang artikel in de New York Times waarin een hele tijdlijn werd gegeven waaruit bleek dat wetenschappers constant de klimaatverandering onderschatten, eigenlijk al vanaf 1980.",1,1,4,1,1,3,1
17,ParlaMint-NL_2019-04-23-tweedekamer-5.u2,PvdD,2019,"Voorzitter, dank u wel. De Partij voor de Dieren wil graag meer boeren. Maar daarvoor hoeven we dus niet bij dit kabinet te zijn, en ook niet bij de voorgangers van het kabinet. De Partij voor de Dieren, maar ook mensen die helemaal aan de andere kant van het spectrum staan, zoals oud-minister Veerman, zeggen al een poosje: van die intensieve veehouderij en die voortdurende schaalvergroting wordt eigenlijk niemand beter: de dieren niet, de boeren niet, de natuur niet — we hebben een enorm biodiversiteitsprobleem — het klimaat niet en het milieu niet.",1,1,1,1,3,1,1
18,ParlaMint-NL_2022-05-31-eerstekamer-12.u108,CDA,2022,"Ik onderstreep helemaal wat de heer Vendrik zegt over onze houding ten opzichte van die transitie. Die transitie vinden wij buitengewoon waardevol. Wij vinden ook het belang van KLM voor de economie buitengewoon waardevol. Die twee kun je wat ons betreft niet scheiden; beide zijn nodig. Daarvoor zul je ook investeringen moeten doen. Een verwatering van 9,3% naar 2% is wel een hele sterke verwatering. Ik heb ook gezegd dat het accepteren daarvan een heel sterke symbolische betekenis heeft. We hebben al een keer eerder een verwatering gehad, maar die was niet zo dramatisch als wat nu dreigt, van 9,3% naar 2%. Ik heb niet voor niks gezegd dat dit wetsvoorstel iets vervreemdends heeft, iets verontrustends, unheimisch, vanwege die onzekerheden. Maar dat is de realiteit waar we mee te leven hebben. Maar dat als argument gebruiken om nu niet te handelen, zouden wij buitengewoon onverstandig vinden. Wat betreft wat de toekomst brengt: je kunt nooit zeggen ""wat er ook gebeurt, whatever it takes"". Maar dat je wel een houding moet hebben waarbij je je uiterste best doet om dit buitengewoon waardevolle bedrijf voor Nederland te behouden, dat spreekt mijn fractie zeer aan.",4,1,1,1,1,1,1
19,ParlaMint-NL_2017-12-05-eerstekamer-3.u262,VVD,2017,"Dan was er nog de vraag over het klimaatbeleid. Over de doelstellingen zijn ook vragen gesteld. We hebben die ambitieuze doelstelling, we sturen op CO-reductie, niet op specifieke instrumenten of technieken. We kiezen daarmee ook voor de meest kosteneffectieve mix van maatregelen, zodat we met het beschikbare budget meer klimaateffect kunnen bereiken. Carbon capture and storage lijkt daarbij een interessante techniek, maar die moet nader worden uitgewerkt.",3,1,1,1,1,1,1
20,ParlaMint-NL_2018-12-12-tweedekamer-4.u73,VVD,2018,"Ik begin me een beetje te herhalen, voorzitter. Volgens mij is er niet ingestemd met een eurozonebudget. De inzet van het kabinet was: geen eurozonebudget voor economische schokken en schokabsorptie.",1,1,1,1,1,1,1
21,ParlaMint-NL_2022-03-15-tweedekamer-35.u7,GroenLinks,2022,"Voorzitter. Van mijn hand twee moties en een opmerking. Die opmerking gaat over de Luchtvaartnota. Tijdens het debat was er enige verwarring of het nou een concept was of een definitief stuk. De minister heeft nog een brief gestuurd waarin staat dat die nota definitief is, maar die nota is natuurlijk geschreven in een geheel andere tijd, in een tijd voor corona en in een tijd voor duidelijk klimaatbeleid van Europa met betrekking tot de luchtvaart.",1,1,1,1,1,1,1
22,ParlaMint-NL_2019-11-12-eerstekamer-10.u8,VVD,2019,"Mevrouw Van Huffelen, mijn hartelijke gelukwensen met uw maidenspeech. Dat u vandaag deelneemt aan het debat over een wetsvoorstel voor investeringen in energietransitie, duurzaamheid en mobiliteit mag gezien uw achtergrond geen verrassing zijn. Na uw studie Bestuurskunde aan de Rijksuniversiteit Leiden én de Erasmus Universiteit Rotterdam begon u als senior beleidsmedewerker aan het ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieu (VROM) het huidige ministerie van Infrastructuur en Milieu (IenM). U hield zich op het ministerie onder andere bezig met het CO-reductieplan. Vanaf dat moment lopen energie en duurzaamheid als een rode draad door uw carrière. Zo was u van 1997 tot 2000 directeur van het Projectbureau Energie 2050, dat zich bezighield met het bevorderen van duurzame energie in Noord-Brabant. In mei 2010 werd u voor D66 wethouder van Rotterdam, met als portefeuille duurzaamheid, binnenstad en buitenruimte. Duurzaamheid in een havenstad als Rotterdam lijkt een tegenstelling, maar u zei daarover: ""Het is een fabeltje dat grote bedrijven tegen duurzaamheid zijn; ook zij zien dat de wereld gaat veranderen en dat Rotterdam mee moet"". Sinds 2014 vult u ""duurzaamheid"" werktechnisch op een andere manier in. In uw privéleven spelen mobiliteit en duurzaamheid eveneens een rol.",2,1,1,1,1,1,1
